health_x_economy,freedom,family,health,economy_t-1_x_health_t-1,family_generosity_ratio,continent,happiness_score,trust,economy_health_ratio,health_x_country_economy_mean,economy,family_t-1_x_freedom_t-1,country_economy_mean
0.097017397,0.23414,1.02951,0.30335,0.0,2.8197255621593493,Asia,3.575,0.09719,1.0542589662447257,0.10833036309629704,0.31982,0.0,0.35711344353485097
0.0663009088,0.1643,0.11037,0.17344,0.097017397,0.35296939460807825,Asia,3.36,0.07112,2.203920438166618,0.06193775564668456,0.38227,0.24104947139999996,0.35711344353485097
0.07256571387459045,0.106179520487785,0.581543326377869,0.180746778845787,0.0663009088,1.8646325107755233,Asia,3.79399991035461,0.0611578300595284,2.2210907952546335,0.06454710460145115,0.401477217674255,0.018133791,0.35711344353485097
0.08466,0.085,0.537,0.255,0.07256571387459045,2.8113711324014448,Asia,3.632,0.036,1.3019097290302342,0.091063928101387,0.332,0.06174799153767358,0.35711344353485097
0.12635,0.417,0.517,0.361,0.08466,3.271944813619391,Asia,3.203,0.025,0.9695022298551286,0.1289179531160812,0.35,0.045645000000000005,0.35711344353485097
0.7145783775,0.35733,0.80434,0.81325,0.0,5.6353955019967765,Europe,4.959,0.06413,1.0804293829771536,0.7633429218266803,0.87867,0.0,0.9386325506629944
0.697435871,0.31866,0.50163,0.73007,0.7145783775,2.9786235971735646,Europe,4.655,0.05301,1.308486741179049,0.6852674662625323,0.9553,0.2874148122,0.9386325506629944
0.7283760411252338,0.381498634815216,0.803685247898102,0.731159746646881,0.697435871,3.992020138193252,Europe,4.64400005340576,0.0398642159998417,1.3624644043103225,0.6862903379372707,0.996192753314972,0.1598494158,0.9386325506629944
0.7236400000000001,0.419,0.817,0.79,0.7283760411252338,5.482853499765116,Europe,4.586,0.032,1.1594789939367858,0.7415197150237657,0.916,0.3066048248942544,0.9386325506629944
0.8276779999999999,0.383,0.848,0.874,0.7236400000000001,4.76377731588113,Europe,4.719,0.027,1.0835116303017127,0.8203648492794572,0.947,0.342323,0.9386325506629944
0.5801618613999999,0.28579,1.07772,0.61766,0.0,13.776300651923815,Africa,5.605,0.17383,1.520698754998624,0.62566666069633,0.93929,0.0,1.012962893333436
0.6505859864,0.21006,0.83309,0.61804,0.5801618613999999,11.825266146202981,Africa,6.355,0.16157,1.7031955343418816,0.6260515865957968,1.05266,0.3080015988,1.012962893333436
0.67431872985163,0.233335807919502,1.1462174654007,0.617584645748138,0.6505859864,16.505008016224146,Africa,5.87200021743774,0.146096110343933,1.7679305903705238,0.625590329635339,1.09186446666718,0.1749988854,1.012962893333436
0.6725730000000001,0.077,1.154,0.687,0.67431872985163,20.978003999272858,Africa,5.295,0.135,1.4250156475160478,0.6959055077200706,0.979,0.2674535783407162,1.012962893333436
0.78657,0.086,1.16,0.785,0.6725730000000001,15.888234488426244,Africa,5.211,0.114,1.276416860931708,0.7951758712667473,1.002,0.08885799999999999,1.012962893333436
0.1264204374,0.10384,0.8604,0.16683,0.0,6.969623329283111,Africa,4.033,0.07122,4.541956365380004,0.13319365950143153,0.75778,0.0,0.7983795450544358
0.042289242100000006,0.00589,0.66366,0.04991,0.1264204374,5.49751491053678,Africa,3.866,0.08434,16.97335737179487,0.03984712309366689,0.84731,0.08934393600000001,0.7983795450544358
0.04280866789144302,0.0,1.10441195964813,0.0498686656355858,0.042289242100000006,11.276817859702186,Africa,3.79500007629395,0.0697203353047371,17.210327687782,0.039814122582610766,0.858428180217743,0.0039089574,0.7983795450544358
0.19637000000000002,0.487,1.125,0.269,0.04280866789144302,14.238703961523859,Africa,3.795,0.061,2.7136537675179357,0.21476409761964324,0.73,0.0,0.7983795450544358
0.8293546772999999,0.44974,1.24823,0.78723,0.0,10.899668180230528,South America,6.574,0.08484,1.3382323052690412,0.8746401558858328,1.05351,0.0,1.111035092521668
0.8026315407,0.42284,1.06612,0.69711,0.8293546772999999,9.700818926296632,South America,6.65,0.07296,1.6516094789993117,0.7745136733477801,1.15137,0.5613789602,1.111035092521668
0.8239428309994087,0.494519203901291,1.44045114517212,0.695137083530426,0.8026315407,13.15876333968221,South America,6.59899997711182,0.059739887714386,1.7051002452439417,0.7723216939154695,1.18529546260834,0.45079818079999995,1.111035092521668
0.7983119999999999,0.57,1.468,0.744,0.8239428309994087,23.673601032091597,South America,6.388,0.054,1.442184916869397,0.8266101088361211,1.073,0.7123307535692197,1.111035092521668
0.9620520000000001,0.471,1.432,0.881,0.7983119999999999,21.69368277533707,South America,6.086,0.05,1.239486498450642,0.9788219165115896,1.092,0.83676,1.111035092521668
0.560716479,0.19847,0.77711,0.7299,0.0,9.891929735234216,Asia,4.35,0.039,1.0524722226027867,0.6124834303930411,0.76821,0.0,0.8391333475723265
0.5516649137999999,0.14037,0.62477,0.64083,0.560716479,8.016037977931743,Asia,4.36,0.03616,1.3433306285500282,0.537741823124774,0.86086,0.1542330217,0.8391333475723265
0.5741524183477862,0.198303267359734,1.00748372077942,0.637524425983429,0.5516649137999999,12.065949038375624,Asia,4.37599992752075,0.0266744215041399,1.4126244813719937,0.5349680057346006,0.900596737861633,0.08769896490000001,0.8391333475723265
0.543456,0.26,0.99,0.666,0.5741524183477862,12.855473315153876,Asia,4.321,0.028,1.2252068287262954,0.5588628094831695,0.816,0.19978731364230093,0.8391333475723265
0.69275,0.283,1.055,0.815,0.543456,11.10409430586254,Asia,4.559,0.064,1.0429319885645576,0.6838936782714461,0.85,0.2574,0.8391333475723265
