health_x_economy,freedom,family,health,economy_t-1_x_health_t-1,family_generosity_ratio,continent,happiness_score
0.097017397,0.23414,1.02951,0.30335,0.0,2.8197255621593493,Asia,3.575
0.0663009088,0.1643,0.11037,0.17344,0.097017397,0.35296939460807825,Asia,3.36
0.07256571387459045,0.106179520487785,0.581543326377869,0.180746778845787,0.0663009088,1.8646325107755233,Asia,3.79399991035461
0.08466,0.085,0.537,0.255,0.07256571387459045,2.8113711324014448,Asia,3.632
0.12635,0.417,0.517,0.361,0.08466,3.271944813619391,Asia,3.203
0.7145783775,0.35733,0.80434,0.81325,0.0,5.6353955019967765,Europe,4.959
0.697435871,0.31866,0.50163,0.73007,0.7145783775,2.9786235971735646,Europe,4.655
0.7283760411252338,0.381498634815216,0.803685247898102,0.731159746646881,0.697435871,3.992020138193252,Europe,4.64400005340576
0.7236400000000001,0.419,0.817,0.79,0.7283760411252338,5.482853499765116,Europe,4.586
0.8276779999999999,0.383,0.848,0.874,0.7236400000000001,4.76377731588113,Europe,4.719
0.5801618613999999,0.28579,1.07772,0.61766,0.0,13.776300651923815,Africa,5.605
0.6505859864,0.21006,0.83309,0.61804,0.5801618613999999,11.825266146202981,Africa,6.355
0.67431872985163,0.233335807919502,1.1462174654007,0.617584645748138,0.6505859864,16.505008016224146,Africa,5.87200021743774
0.6725730000000001,0.077,1.154,0.687,0.67431872985163,20.978003999272858,Africa,5.295
0.78657,0.086,1.16,0.785,0.6725730000000001,15.888234488426244,Africa,5.211
0.1264204374,0.10384,0.8604,0.16683,0.0,6.969623329283111,Africa,4.033
0.042289242100000006,0.00589,0.66366,0.04991,0.1264204374,5.49751491053678,Africa,3.866
0.04280866789144302,0.0,1.10441195964813,0.0498686656355858,0.042289242100000006,11.276817859702186,Africa,3.79500007629395
0.19637000000000002,0.487,1.125,0.269,0.04280866789144302,14.238703961523859,Africa,3.795
0.8293546772999999,0.44974,1.24823,0.78723,0.0,10.899668180230528,South America,6.574
0.8026315407,0.42284,1.06612,0.69711,0.8293546772999999,9.700818926296632,South America,6.65
0.8239428309994087,0.494519203901291,1.44045114517212,0.695137083530426,0.8026315407,13.15876333968221,South America,6.59899997711182
0.7983119999999999,0.57,1.468,0.744,0.8239428309994087,23.673601032091597,South America,6.388
0.9620520000000001,0.471,1.432,0.881,0.7983119999999999,21.69368277533707,South America,6.086
0.560716479,0.19847,0.77711,0.7299,0.0,9.891929735234216,Asia,4.35
0.5516649137999999,0.14037,0.62477,0.64083,0.560716479,8.016037977931743,Asia,4.36
0.5741524183477862,0.198303267359734,1.00748372077942,0.637524425983429,0.5516649137999999,12.065949038375624,Asia,4.37599992752075
0.543456,0.26,0.99,0.666,0.5741524183477862,12.855473315153876,Asia,4.321
0.69275,0.283,1.055,0.815,0.543456,11.10409430586254,Asia,4.559
1.2423097848,0.65124,1.30923,0.93156,0.0,3.0053715308863023,Oceania,7.284
1.229498816,0.56837,1.10476,0.8512,1.2423097848,2.3303239959500504,Oceania,7.313
1.2526781585679114,0.601607382297516,1.51004195213318,0.84388679265976,1.229498816,3.1610063070527565,Oceania,7.28399991989136
1.2194,0.647,1.573,0.91,1.2526781585679114,4.357220021606049,Oceania,7.272
1.4213920000000002,0.557,1.548,1.036,1.2194,4.662510165356465,Oceania,7.228
1.1906963365999998,0.62433,1.29704,0.89042,0.0,3.9198525189640057,Europe,7.2
1.168498647,0.54355,1.08383,0.80565,1.1906963365999998,3.2977240917665673,Europe,7.119
1.2124726609252143,0.567766189575195,1.4599449634552,0.815328419208527,1.168498647,4.613037958607683,Europe,7.00600004196167
1.194831,0.617,1.504,0.891,1.2124726609252143,6.214619230610305,Europe,7.139
1.398016,0.532,1.475,1.016,1.194831,6.0448342281054055,Europe,7.246
0.6557503505,0.3703,0.93793,0.64045,0.0,12.02474358974359,Asia,5.212
0.6124777991999999,0.35327,0.76042,0.54504,0.6557503505,13.480234001063641,Asia,5.291
0.6238398899004671,0.398155838251114,1.15240025520325,0.540775775909424,0.6124777991999999,25.450906487606122,Asia,5.23400020599365
0.617472,0.43,1.161,0.603,0.6238398899004671,37.43953563366656,Asia,5.201
0.802067,0.351,1.147,0.769,0.617472,32.76206798057697,Asia,5.208
0.9890605216000001,0.45492,1.21624,0.74716,0.0,7.004780279905546,Asia,5.96
0.9461800704,0.47375,0.94397,0.65696,0.9890605216000001,5.504840214602285,Asia,6.218
0.9721312169267434,0.536746919155121,1.32311046123505,0.653133034706116,0.9461800704,7.662277365855466,Asia,6.08699989318848
0.933924,0.594,1.366,0.698,0.9721312169267434,5.621167853174767,Asia,6.105
1.1863020000000002,0.536,1.368,0.871,0.933924,5.364495509980001,Asia,6.199
0.23916994919999998,0.4082,0.43106,0.60164,0.0,2.0310983367101727,Asia,4.694
0.28707850529999995,0.39778,0.24749,0.52989,0.23916994919999998,1.293524277426436,Asia,4.643
0.312843436113397,0.478356659412384,0.735131740570068,0.533241033554077,0.28707850529999995,4.267438178600625,Asia,4.60799980163574
0.30802799999999997,0.58,0.85,0.579,0.312843436113397,5.555192471080321,Asia,4.5
0.406326,0.527,0.928,0.723,0.30802799999999997,5.590024697307391,Asia,4.456
0.7595756735999999,0.37938,1.23289,0.73608,0.0,11.160405539965602,Europe,5.813
0.7134664448,0.29091,1.04993,0.63104,0.7595756735999999,7.53015850247436,Europe,5.802
0.7375532563398222,0.295400261878967,1.44494521617889,0.637714266777039,0.7134664448,9.313363936618957,Europe,5.56899976730347
0.7273,0.307,1.498,0.7,0.7375532563398222,14.83021483021483,Europe,5.483
