iter	RMSE
178	0.3040553859
179	0.3029489852
180	0.3016453
181	0.3005201945
182	0.299499092
183	0.2989265865
184	0.2981055094
185	0.2966088436
186	0.2959698889
187	0.295154655
188	0.2941754681
189	0.2935778231
190	0.2928918434
191	0.2917720306
192	0.2904188292
193	0.2897996962
194	0.2885993199
195	0.2874869573
196	0.2869077222
197	0.2865864019
198	0.2859177543
199	0.2855174262
200	0.2845378286
201	0.2833448812
202	0.2828730632
203	0.2823590867
204	0.2819973505
205	0.2807616539
206	0.2798385242
207	0.2793533104
208	0.2783304478
209	0.2778816057
210	0.2772223163
211	0.2758898248
212	0.2750731669
213	0.2741541017
214	0.2736831601
215	0.2727930634
216	0.2724015544
217	0.271492302
218	0.2709003054
219	0.2705580157
220	0.2699259268
221	0.2695231068
222	0.2687444666
223	0.2679854001
224	0.2671565749
225	0.2666348787
226	0.2658602043
227	0.2649064091
228	0.2642981577
229	0.263296484
230	0.2622120822
231	0.2614262442
232	0.2611952504
233	0.2601716302
234	0.2593732221
235	0.258964597
236	0.2581786734
237	0.2575706778
238	0.2567722403
239	0.2562767068
240	0.2556061442
241	0.2547117074
242	0.2542215643
243	0.2539675948
244	0.2535752711
245	0.2525309179
246	0.2522732862
247	0.2513343501
248	0.2508505197
249	0.2502898954
250	0.2500389374
251	0.2494696728
252	0.2493575789
253	0.2488063623
254	0.2475997184
255	0.2470079545
256	0.2462200553
257	0.245012411
258	0.2448438489
259	0.2443633032
260	0.2435908291
261	0.2425374486
262	0.2417464883
263	0.241028576
264	0.2408026522
265	0.240153091
266	0.2395116674
267	0.2392015339
268	0.2390867032
269	0.2381434259
270	0.2375615323
271	0.2365811888
272	0.2360297433
273	0.2356131648
274	0.2351393792
275	0.2350053315
276	0.2342937629
277	0.2334011086
278	0.2331016284
279	0.2325600151
280	0.2321244972
281	0.2316461576
282	0.2310548399
283	0.23096228
284	0.2307892144
285	0.2303226997
286	0.2294953447
287	0.2288261842
288	0.2281232298
289	0.227682038
290	0.2274373921
291	0.2269235237
292	0.2263795267
293	0.2256398638
294	0.2247924825
295	0.2242589907
296	0.2233846522
297	0.2224613373
298	0.2218951564
299	0.2211504176
300	0.2202337888
301	0.2197285863
302	0.2192441875
303	0.2189850916
304	0.218571762
305	0.2180509831
306	0.2176997313
307	0.2172646435
308	0.2163727875
309	0.2162589082
310	0.215580638
311	0.2148783564
312	0.2142866293
313	0.2141914791
314	0.2136724355
315	0.2128080786
316	0.2123425562
317	0.2118318483
318	0.211476262
319	0.2110247706
320	0.2109168296
321	0.2104932853
322	0.2098293159
323	0.209575848
324	0.208785591
325	0.2085497431
326	0.2081519071
327	0.2077123392
328	0.2069807625
329	0.2064617776
330	0.2058709409
331	0.2053659892
332	0.205013548
333	0.2044326848
334	0.2043221849
335	0.2042393838
336	0.2037888841
337	0.2033807619
338	0.2025397714
339	0.2024954585
340	0.2018762819
341	0.2015988094
342	0.201139427
343	0.2010805491
344	0.2003470042
345	0.2001421835
346	0.1995822484
347	0.1993877414
348	0.1986405772
349	0.1985762428
350	0.1981961315
351	0.1978245017
352	0.1976978492
353	0.1969580594
354	0.1962279423
355	0.1959171012
356	0.1950647323
357	0.1944404609
358	0.1940240998
359	0.1934573073
360	0.1928051962
361	0.1923654559
362	0.1919110134
363	0.191733927
364	0.1915679703
365	0.1913245842
366	0.190856689
367	0.1904410647
368	0.1899590609
369	0.1897711616
370	0.1891708302
371	0.188685783
372	0.1880928855
373	0.187527128
374	0.1869911123
375	0.1864214512
376	0.1859018373
377	0.1852531352
378	0.1846238683
379	0.184345872
380	0.1837578711
381	0.1835388529
382	0.1831373038
383	0.182671891
384	0.1825171731
385	0.1821367244
386	0.1817370611
387	0.1813724601
388	0.1807822207
389	0.1805807823
390	0.1800891921
391	0.179693243
392	0.179101928
393	0.1787628735
394	0.1782835806
395	0.1778470418
396	0.1772892423
397	0.176954985
398	0.1764317669
399	0.1760196937
400	0.1754528481
401	0.1750566792
402	0.1745475077
403	0.1743148451
404	0.1740926865
405	0.1740044958
406	0.1738435563
407	0.1734685129
408	0.1729277851
409	0.1726580735
410	0.1722833203
411	0.1718366427
412	0.1713957102
413	0.1710005077
414	0.170878361
415	0.1703085903
416	0.1700485145
417	0.1696271228
418	0.1691640691
419	0.1687460083
420	0.1683089846
421	0.1678057489
422	0.1672641534
423	0.1669657354
424	0.1667150212
425	0.1665173352
426	0.1661524068
427	0.1657452148
428	0.1651319705
429	0.165004522
430	0.1645198457
431	0.1642012091
432	0.164023165
433	0.1637349031
434	0.1632586164
435	0.162723255
436	0.1624932449
437	0.1621847427
438	0.1617589371
439	0.1614993119
440	0.1610011439
441	0.1608529508
442	0.1607493934
443	0.1605632582
444	0.1601354527
445	0.159645998
446	0.1594382337
447	0.1590948367
448	0.158710995
449	0.1584046892
450	0.1581556275
451	0.1580382022
452	0.1577166063
453	0.1576055044
454	0.1574039834
455	0.1568793324
456	0.1564972534
457	0.1563879699
458	0.1560591895
459	0.1558254583
460	0.1555667853
461	0.1552454516
462	0.1548111779
463	0.1544408492
464	0.1539915795
465	0.1539304217
466	0.1537453035
467	0.1536837844
468	0.15333374
469	0.153054536
470	0.1527948045
471	0.1527132099
472	0.1524276343
473	0.1521892783
474	0.1517143493
475	0.1516415463
476	0.1511600495
477	0.1508520809
478	0.1505004403
479	0.1501359951
480	0.1500306674
481	0.1497881025
482	0.1494459848
483	0.1488784418
484	0.148704977
485	0.1484151684
486	0.1479651435
487	0.1476758436
488	0.1474245044
489	0.1471450047
490	0.1470954226
491	0.1469941851
492	0.1465974464
493	0.146351761
494	0.1460130109
495	0.1459396219
496	0.1458304473
497	0.1456898444
498	0.1455605433
499	0.1454935757
